title,author,average_rating,language_code,num-pages,ratings_count,text_reviews_count,publisher,genres,years,author_birthplace,author_birthdate,author_gender
Dracula,Bram_Stoker,3.99,eng,449,1683,120,Penguin Books,Horror,1994,"Clontarf, Dublin, Ireland",1847,male
What Dreams May Come,Richard_Matheson,3.95,eng,288,9298,830,Tor Books,Horror,2004,"Allendale, New Jersey, U.S.",1926,male
When True Night Falls (The Coldfire Trilogy  #2),C._S._Friedman,4.14,en-US,560,8188,139,DAW,Horror,2005,"New York City, U.S.",1957,unknown
The Spook's Apprentice (The Last Apprentice / Wardstone Chronicles  #1),Joseph_Delaney,3.99,eng,325,2956,242,Red Fox,Horror,2005,"Preston, Lancashire, England",1945,male
The Waste Lands (The Dark Tower  #3),Stephen_King,4.24,eng,422,145740,3382,Viking Adult,Horror,2003,"Portland, Maine, U.S.",1947,male
Alien,Alan_Dean_Foster,4.09,eng,270,15901,309,Grand Central Publishing,Horror,1979,"New York City, U.S.",1946,male
Black Sun Rising (The Coldfire Trilogy  #1),C._S._Friedman,3.93,en-US,496,15607,487,Daw Books,Horror,2005,"New York City, U.S.",1957,unknown
The Wicked (Vampire Huntress  #8),L._A._Banks,4.41,en-US,389,1778,36,St. Martins Press-3PL,Horror,2000,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Wheel of Darkness (Pendergast  #8),Douglas_Preston,3.93,eng,388,21797,1002,Grand Central Publishing,Horror,2007,"Cambridge, Massachusetts, U.S.",1956,male
Reliquary (Pendergast  #2),Douglas_Preston,4.01,eng,464,32325,1044,Tor Books,Horror,2005,"Cambridge, Massachusetts, U.S.",1956,male
The Cabinet of Curiosities (Pendergast  #3),Douglas_Preston,4.25,eng,629,34650,1722,Warner Books,Horror,2003,"Cambridge, Massachusetts, U.S.",1956,male
Still Life With Crows (Pendergast  #4),Douglas_Preston,4.18,eng,564,26865,1228,Grand Central Publishing,Horror,2004,"Cambridge, Massachusetts, U.S.",1956,male
The Hunted (Vampire Huntress  #3),L._A._Banks,4.14,eng,565,2732,79,St. Martin's Paperbacks,Horror,2005,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Bitten (Vampire Huntress  #4),L._A._Banks,4.24,en-US,435,2447,63,St. Martin's Griffin,Horror,2005,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Forsaken (Vampire Huntress  #7),L._A._Banks,4.35,eng,448,1878,36,St. Martin's Griffin,Horror,2006,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Awakening (Vampire Huntress  #2),L._A._Banks,4.0,eng,300,3173,133,St. Martin's Paperbacks,Horror,2004,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Forbidden (Vampire Huntress  #5),L._A._Banks,4.27,eng,490,2133,42,St. Martin's Paperbacks,Horror,2006,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Damned (Vampire Huntress  #6),L._A._Banks,4.28,eng,492,1993,38,St. Martin's Paperbacks,Horror,2007,"Philadelphia, Pennsylvania, U.S.",1959,unknown
The Alienist (Dr. Laszlo Kreizler  #1),Caleb_Carr,4.06,eng,498,126669,5578,Random House,Horror,2006,"Manhattan, New York, US",1955,male
The Abyss,Orson_Scott_Card,4.07,eng,363,17911,111,Legend,Horror,1989,"Richland, Washington, U.S.",1951,male
The Sheep Look Up,John_Brunner,3.95,eng,388,3568,284,BenBella Books,Horror,2003,Birthplace information not found,Birthyear information not found,male
